Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,timestamp
3269,22,Female,Pants,Clothing,90,Arkansas,XL,Violet,Spring,3.0,No,Standard,No,No,46,PayPal,Every 3 Months,2025-12-05 22:20:56
728,62,Male,Gloves,Accessories,50,Arkansas,M,Silver,Winter,3.8,Yes,Express,No,No,22,PayPal,Every 3 Months,2025-12-05 22:20:56
1812,42,Male,Belt,Accessories,21,Wisconsin,L,Olive,Spring,3.6,No,Store Pickup,No,Yes,11,Cash,Annually,2025-12-05 22:20:56
3886,49,Female,Sunglasses,Accessories,21,New Mexico,L,Blue,Winter,4.4,No,Standard,No,No,29,Venmo,Quarterly,2025-12-05 22:20:56
1140,58,Male,Pants,Clothing,95,Alabama,L,Brown,Summer,2.5,No,Next Day Air,No,No,13,Debit Card,Bi-Weekly,2025-12-05 22:20:56
1400,19,Male,Hat,Accessories,81,Nebraska,M,Olive,Winter,3.1,No,Store Pickup,Yes,Yes,48,Venmo,Annually,2025-12-05 22:20:56
2229,54,Male,Gloves,Accessories,50,Kansas,M,Green,Fall,3.7,No,Free Shipping,No,No,5,Credit Card,Weekly,2025-12-05 22:20:56
796,39,Male,Sandals,Footwear,26,New York,M,Beige,Summer,4.6,Yes,Store Pickup,Yes,Yes,34,Venmo,Annually,2025-12-05 22:20:56
1922,47,Male,Shirt,Clothing,83,Michigan,M,Purple,Winter,3.2,No,Express,No,Yes,32,Bank Transfer,Annually,2025-12-05 22:20:56
907,41,Male,Blouse,Clothing,30,South Carolina,M,Pink,Spring,4.7,Yes,Store Pickup,No,No,18,Credit Card,Bi-Weekly,2025-12-05 22:20:56
3071,52,Female,Handbag,Accessories,23,Alabama,M,Violet,Spring,4.9,No,Store Pickup,No,Yes,39,Bank Transfer,Bi-Weekly,2025-12-05 22:20:56
2387,19,Male,Jacket,Outerwear,23,Illinois,M,Cyan,Summer,3.3,No,Express,No,No,40,Debit Card,Monthly,2025-12-05 22:20:56
3194,63,Female,T-shirt,Clothing,28,Virginia,M,Pink,Summer,3.6,No,Standard,Yes,No,35,Credit Card,Fortnightly,2025-12-05 22:20:56
3473,31,Female,T-shirt,Clothing,83,Georgia,L,Green,Winter,3.9,No,Free Shipping,No,Yes,28,Debit Card,Weekly,2025-12-05 22:20:56
780,60,Male,Sandals,Footwear,31,Utah,M,Pink,Spring,3.2,Yes,Standard,Yes,Yes,37,Venmo,Annually,2025-12-05 22:20:56
2834,43,Female,Sneakers,Footwear,84,Arkansas,L,Magenta,Winter,3.3,No,Standard,No,No,25,Venmo,Monthly,2025-12-05 22:20:56
3598,29,Female,Sunglasses,Accessories,71,New Mexico,M,Maroon,Summer,3.1,No,Standard,No,No,18,Bank Transfer,Quarterly,2025-12-05 22:20:56
3021,23,Female,Jewelry,Accessories,59,Arkansas,M,Cyan,Summer,5.0,No,Standard,No,No,14,Debit Card,Every 3 Months,2025-12-05 22:20:56
2277,31,Male,Shoes,Footwear,43,Wyoming,S,Blue,Summer,2.8,No,Standard,No,No,37,Venmo,Weekly,2025-12-05 22:20:56
2836,33,Female,Boots,Footwear,55,Vermont,M,Violet,Winter,4.6,No,Free Shipping,Yes,Yes,5,Bank Transfer,Annually,2025-12-05 22:20:56
125,44,Male,Hat,Accessories,71,Nevada,S,Peach,Fall,2.6,Yes,Express,No,Yes,36,PayPal,Annually,2025-12-05 22:20:56
465,23,Male,Belt,Accessories,23,Alabama,XL,Orange,Spring,4.8,Yes,Express,No,Yes,21,PayPal,Monthly,2025-12-05 22:20:56
2276,29,Male,Jeans,Clothing,20,Oklahoma,M,Lavender,Spring,3.4,No,Free Shipping,No,No,15,Debit Card,Weekly,2025-12-05 22:20:56
3672,62,Female,Handbag,Accessories,63,Illinois,M,Maroon,Spring,4.2,No,Express,No,No,30,Debit Card,Quarterly,2025-12-05 22:20:56
2492,63,Male,Handbag,Accessories,47,North Carolina,M,Magenta,Spring,2.5,No,Express,No,No,15,Bank Transfer,Monthly,2025-12-05 22:20:56
1505,60,Male,Pants,Clothing,73,Alaska,S,Silver,Summer,2.6,No,Free Shipping,Yes,No,16,Cash,Monthly,2025-12-05 22:20:56
882,52,Male,T-shirt,Clothing,76,South Carolina,M,Charcoal,Winter,4.4,Yes,Next Day Air,Yes,No,25,Debit Card,Annually,2025-12-05 22:20:56
1734,67,Male,Handbag,Accessories,20,New York,M,Gold,Summer,4.4,No,Next Day Air,No,No,29,Credit Card,Annually,2025-12-05 22:20:56
