Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,timestamp
2938,28,Female,Handbag,Accessories,39,West Virginia,M,White,Spring,4.3,No,2-Day Shipping,No,No,15,Credit Card,Weekly,2025-11-24 23:17:41
1277,51,Male,Dress,Clothing,42,Wyoming,M,Orange,Spring,3.6,No,Store Pickup,No,No,30,Credit Card,Weekly,2025-11-24 23:17:41
879,23,Male,Shirt,Clothing,78,Tennessee,S,Peach,Summer,2.9,Yes,Store Pickup,Yes,No,6,Cash,Weekly,2025-11-24 23:17:41
3812,46,Female,Jacket,Outerwear,48,Idaho,S,Teal,Fall,3.4,No,Store Pickup,No,Yes,23,PayPal,Monthly,2025-11-24 23:17:41
2792,43,Female,Shorts,Clothing,85,Iowa,L,Peach,Winter,4.0,No,Express,No,Yes,17,Bank Transfer,Fortnightly,2025-11-24 23:17:41
2564,69,Male,Backpack,Accessories,81,Massachusetts,XL,Gray,Winter,4.5,No,Standard,No,No,1,Venmo,Every 3 Months,2025-11-24 23:17:41
1188,56,Male,Hat,Accessories,89,Iowa,L,Maroon,Fall,3.0,No,Express,Yes,Yes,37,Credit Card,Every 3 Months,2025-11-24 23:17:41
1104,35,Male,Shorts,Clothing,64,Tennessee,XL,Maroon,Winter,4.0,No,Store Pickup,No,Yes,12,Credit Card,Bi-Weekly,2025-11-24 23:17:41
246,49,Male,Handbag,Accessories,24,Rhode Island,M,Turquoise,Summer,4.4,Yes,Free Shipping,Yes,No,13,PayPal,Fortnightly,2025-11-24 23:17:41
2804,46,Female,Coat,Outerwear,23,Idaho,M,Purple,Fall,5.0,No,2-Day Shipping,No,Yes,37,Cash,Monthly,2025-11-24 23:17:41
1810,58,Male,Shoes,Footwear,72,Alaska,M,Olive,Summer,3.6,No,Free Shipping,No,Yes,31,PayPal,Fortnightly,2025-11-24 23:17:41
2337,19,Male,Shorts,Clothing,67,California,M,Purple,Summer,2.9,No,Store Pickup,No,Yes,32,Cash,Weekly,2025-11-24 23:17:41
2372,67,Male,Belt,Accessories,94,Indiana,S,Yellow,Summer,3.0,No,Express,No,No,47,Credit Card,Annually,2025-11-24 23:17:41
1527,41,Male,Jacket,Outerwear,22,Oklahoma,L,White,Summer,3.1,No,Next Day Air,Yes,Yes,27,PayPal,Monthly,2025-11-24 23:17:41
2214,54,Male,Skirt,Clothing,46,Hawaii,M,Olive,Winter,2.9,No,Express,Yes,No,35,Cash,Quarterly,2025-11-24 23:17:41
3388,53,Female,Belt,Accessories,20,New Jersey,L,Orange,Spring,4.7,No,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly,2025-11-24 23:17:41
1392,53,Male,Blouse,Clothing,29,Mississippi,S,White,Winter,3.6,No,Express,Yes,Yes,38,Credit Card,Annually,2025-11-24 23:17:41
632,55,Male,Handbag,Accessories,99,Washington,M,Black,Winter,4.3,Yes,Free Shipping,Yes,Yes,50,PayPal,Fortnightly,2025-11-24 23:17:41
3479,36,Female,Shirt,Clothing,50,Arizona,M,White,Spring,2.6,No,Store Pickup,No,Yes,17,PayPal,Quarterly,2025-11-24 23:17:41
662,57,Male,Dress,Clothing,42,Iowa,L,Red,Summer,3.6,Yes,Free Shipping,Yes,Yes,3,Cash,Quarterly,2025-11-24 23:17:41
3898,46,Female,Scarf,Accessories,95,New Jersey,M,White,Summer,3.2,No,Store Pickup,Yes,Yes,35,Credit Card,Quarterly,2025-11-24 23:17:41
1306,31,Male,Pants,Clothing,56,Mississippi,XL,Peach,Spring,4.5,No,Express,Yes,Yes,2,PayPal,Every 3 Months,2025-11-24 23:17:41
2190,38,Male,Sweater,Clothing,20,Wisconsin,XL,Peach,Summer,4.7,No,Next Day Air,No,No,13,Credit Card,Bi-Weekly,2025-11-24 23:17:41
1163,47,Male,Handbag,Accessories,81,North Carolina,L,Maroon,Spring,4.6,No,Free Shipping,No,No,3,PayPal,Weekly,2025-11-24 23:17:41
522,36,Male,Socks,Clothing,95,Vermont,L,Black,Spring,3.2,Yes,Standard,No,Yes,2,Venmo,Annually,2025-11-24 23:17:41
1817,26,Male,Backpack,Accessories,22,Virginia,M,Teal,Spring,3.7,No,Express,No,No,19,PayPal,Weekly,2025-11-24 23:17:41
185,32,Male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3.0,Yes,Express,Yes,Yes,40,Cash,Fortnightly,2025-11-24 23:17:41
1135,62,Male,Jacket,Outerwear,74,Wisconsin,S,Purple,Fall,4.1,No,Free Shipping,Yes,No,10,Venmo,Every 3 Months,2025-11-24 23:17:41
2404,64,Male,Hoodie,Clothing,68,Missouri,L,Violet,Spring,3.8,No,2-Day Shipping,No,Yes,37,PayPal,Weekly,2025-11-24 23:17:41
2484,32,Male,Jeans,Clothing,73,Arizona,M,Brown,Summer,4.1,No,Express,No,Yes,19,Venmo,Monthly,2025-11-24 23:17:41
2622,48,Male,Socks,Clothing,76,Maine,M,Red,Summer,3.0,No,Store Pickup,Yes,Yes,24,Credit Card,Annually,2025-11-24 23:17:41
