Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,timestamp
2985,45,Female,Gloves,Accessories,32,Texas,L,Red,Spring,4.3,No,2-Day Shipping,No,No,36,Debit Card,Bi-Weekly,2025-12-02 16:49:45
2970,36,Female,Scarf,Accessories,88,Vermont,L,Brown,Winter,3.5,No,Express,Yes,Yes,40,Credit Card,Every 3 Months,2025-12-02 16:49:45
177,53,Male,Scarf,Accessories,53,New Hampshire,M,Charcoal,Winter,4.4,Yes,Express,No,Yes,7,Venmo,Quarterly,2025-12-02 16:49:45
724,35,Male,Skirt,Clothing,45,Missouri,S,Cyan,Winter,4.7,Yes,Free Shipping,No,No,7,PayPal,Monthly,2025-12-02 16:49:45
2055,65,Male,Scarf,Accessories,81,New Jersey,M,Charcoal,Fall,3.2,No,2-Day Shipping,Yes,No,34,Cash,Annually,2025-12-02 16:49:45
1854,29,Male,Blouse,Clothing,73,North Dakota,M,Indigo,Spring,4.0,No,Standard,Yes,Yes,46,Credit Card,Fortnightly,2025-12-02 16:49:45
1342,26,Male,Sweater,Clothing,53,Rhode Island,M,Purple,Fall,4.5,No,Free Shipping,No,Yes,12,Cash,Quarterly,2025-12-02 16:49:45
3804,48,Female,Handbag,Accessories,48,Connecticut,XL,Blue,Winter,4.8,No,Standard,No,No,44,PayPal,Weekly,2025-12-02 16:49:45
3192,62,Female,Skirt,Clothing,38,Mississippi,M,White,Summer,2.7,No,Next Day Air,No,Yes,11,Cash,Every 3 Months,2025-12-02 16:49:45
1780,29,Male,Shoes,Footwear,44,Virginia,M,Cyan,Winter,4.7,No,2-Day Shipping,No,Yes,39,PayPal,Weekly,2025-12-02 16:49:45
1162,63,Male,Hoodie,Clothing,76,Oklahoma,L,Gray,Summer,3.9,No,Next Day Air,Yes,Yes,31,Debit Card,Monthly,2025-12-02 16:49:45
632,55,Male,Gloves,Accessories,64,Washington,M,Teal,Winter,3.0,Yes,Express,No,No,48,Bank Transfer,Fortnightly,2025-12-02 16:49:45
1055,18,Male,Skirt,Clothing,67,Arkansas,S,Violet,Winter,2.6,No,Store Pickup,No,Yes,37,PayPal,Quarterly,2025-12-02 16:49:45
3032,61,Female,Sandals,Footwear,37,Idaho,L,Pink,Summer,4.7,No,Standard,No,Yes,11,Debit Card,Monthly,2025-12-02 16:49:45
3336,44,Female,T-shirt,Clothing,97,Texas,M,Silver,Summer,3.7,No,Store Pickup,Yes,Yes,10,PayPal,Quarterly,2025-12-02 16:49:45
