userId,name,predicted_rating
3900,Sandals,3.6338525
3900,Sunglasses,3.5385168
3900,Sneakers,3.3555334
3899,Backpack,3.9928138
3899,T-shirt,3.7895386
3899,Hoodie,3.6158562
3898,Jewelry,3.2315106
3898,Sweater,3.0088587
3898,Shorts,2.9133296
3897,Jacket,3.70836
3897,Jewelry,3.2937558
3897,Pants,3.2824225
3896,Shorts,3.9523854
3896,Sandals,3.9458454
3896,Shirt,3.8465195
3895,Dress,3.47102
3895,T-shirt,3.4325063
3895,Sneakers,3.3447442
3894,Sweater,3.5064378
3894,Socks,3.3309855
3894,Skirt,3.2884476
3893,Belt,3.7210748
3893,Shorts,3.5417533
3893,Jeans,3.411026
3892,Jewelry,4.001845
3892,Hoodie,3.8156617
3892,Belt,3.6916704
3891,Blouse,4.4746327
3891,Skirt,4.0487113
3891,Jewelry,3.9844136
3890,Hat,3.1971993
3890,Hoodie,3.1434166
3890,Jacket,3.1244824
3889,Sandals,4.0262847
3889,Handbag,4.026191
3889,Sweater,3.7609346
3888,Sneakers,3.5580664
3888,Backpack,3.5425522
3888,Skirt,3.5151253
3887,Socks,4.033336
3887,Skirt,4.017254
3887,Gloves,3.8219004
3886,Sweater,3.4995387
3886,Skirt,3.4916317
3886,Jewelry,3.4110677
3885,Scarf,4.605321
3885,Coat,4.3927255
3885,Shorts,4.1566424
3884,Shorts,4.221919
3884,Sunglasses,4.2142296
3884,Dress,4.2079663
3883,Sunglasses,3.272699
3883,Shorts,3.162873
3883,Skirt,3.1153467
3882,Shoes,4.127818
3882,Boots,3.6433778
3882,Coat,3.6408312
3881,Belt,4.03476
3881,Blouse,3.6737275
3881,Sandals,3.5878434
3880,Hat,3.5638552
3880,Pants,3.434279
3880,Jeans,3.3624725
3879,Sweater,3.6306767
3879,Boots,3.6139433
3879,Belt,3.4765747
3878,Dress,4.0982122
3878,Jacket,3.9686556
3878,Jewelry,3.807266
3877,Scarf,3.4134002
3877,Coat,3.3180108
3877,Sweater,2.8527765
3876,Shirt,3.8594606
3876,Gloves,3.7032933
3876,Socks,3.5532594
3875,Blouse,4.279661
3875,Shoes,3.9740472
3875,Boots,3.909367
3874,Pants,3.7092087
3874,Skirt,3.4755998
